电影名,点击数
06韩国车太贤宋慧乔超级感人爱情大片《我和我的女友》DVD中字,63 
2010年精彩剧情《变身杀人事件》720p.BD中字,19 
09最新惊悚奇幻《可爱的骨头》DVDscr中英双字,13 
1024分辨率《秩序的守护者》BD中英双字无水印,18 
经典美女功夫大片《生死格斗》DVD中字,80 
2015年日本7.4分剧情犯罪片《纸之月》BD日语中字,1935 
<font color='#FF0000'>07最新爱情大片《我的爱》DVD中字</font>,30 
性感美女经典科幻惊悚大片《入侵脑细胞》DVD中字,70 
<font color='#0000FF'>气势磅礴战争大片《最后的摩根战士》DVD中英字幕</font>,22 
1024分辨率《失控陪审团》BD中英双字无水印,56 
2013年英国9.4分BBC电视台特辑片《博士之日》BD中英双字,2881 
2008年迪士尼冒险片《纳尼亚传奇2：凯斯宾王子》BD双语双字,1839 
卖座青春搞笑性喜剧《好可爱》DVD中字,95 
07最新科幻大片《异形大战铁血战士2》R3修正中字,57 
1024分辨率《武林外传》BD国语中字无水印,199 
<font color='#FF0000'>08最新剧情大片《美丽》DVD中字(高清晰版)</font>,563 
2012年惊悚动作《猎杀本拉登》720p.BD中英双字幕,365 
<font color='#FF0000'>哈里波特与凤凰社-电影花絮及采访(中文字幕)</font>,28 
2013年日本真木阳子十佳剧情片《再见溪谷》BD日语中字,903 
<font color='#0000FF'>施瓦辛格科幻动作大片《第六日》DVD中英双字幕</font>,114 
周迅、李冰冰、黄晓明09最新大片《风声》DVD国语中字,101 
2010最新《我家乐翻天》DVD中字,10 
十一月经典美国7.3分剧情运动片《果岭争雄》BD双语双字,27 
1024分辨率《合法副本/爱情对白》BD中英双字无水印,29 
2012年记录《神奇的海洋/潜入水世界》720p.BD中字,167 
最新手机电影《赤焰战场》3gp+mp4清晰大字幕,15 
爆笑喜剧大片《超级骑警》DVD中英双字,16 
2015年张翰张俪悬疑片《张震讲故事之鬼迷心窍》HD国语中字,28 
07奥斯卡提名战争大片《光荣岁月》DVD中字,29 
